INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1075' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1098' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1107' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1095' , 'F'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1154' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1126' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1069' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1068' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1215' , 'D'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1076' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1115' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1066' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1074' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1099' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1134' , 'D'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1061' , 'A'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1091' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1104' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1142' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1118' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1133' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1110' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1071' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1112' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1121' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1114' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1317' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1129' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1120' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1079' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1361' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1077' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1139' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1103' , 'D'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1085' , 'D'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1072' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1090' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1141' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1101' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1060' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1143' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1131' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1105' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1093' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1086' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1130' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1153' , 'F'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1122' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1097' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1083' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1082' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1140' , 'A'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1117' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1175' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1065' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1125' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1094' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1187' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1198' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1073' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1106' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1081' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1113' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1078' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1070' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1111' , 'C-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1063' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1062' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1102' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1123' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1067' , 'B-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1116' , 'C'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1039' , 'B'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1109' , 'A-'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(1 , '2020CSB1132' , 'F'::grade , 'Enrolled'::enrolment_status , 'SE'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1075' , 'C'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1098' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1107' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1095' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1154' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1126' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1069' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1068' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1215' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1076' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1115' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1066' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1074' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1099' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1134' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1061' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1091' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1104' , 'D'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1142' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1118' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1133' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1110' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1071' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1112' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1121' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1114' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1317' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1129' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1120' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1079' , 'C'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1361' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1077' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1139' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1103' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1085' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1072' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1090' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1141' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1101' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1060' , 'F'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1143' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1131' , 'C'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1105' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1093' , 'B-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1086' , 'B'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1130' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1153' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1122' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1097' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1083' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1082' , 'D'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1140' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1117' , 'C-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1175' , 'A-'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
INSERT INTO enrollments(id, entry_no, grade, status, course_type) VALUES(2 , '2020CSB1065' , 'A'::grade , 'Enrolled'::enrolment_status , 'II'::course_types);
